,title,revenue,budget
0,Extraction,0,65000000
1,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,503063688,15800000
2,After We Collided,42000000,0
3,Making The Witcher,0,0
4,The Call of the Wild,111202881,109000000
5,"Miraculous World: New York, United HeroeZ",0,0
6,Beautiful Breasts Serenade: Erotic Fair Skin,0,0
7,The Croods: A New Age,215905815,65000000
8,Soul,136384442,150000000
9,Stand by Me Doraemon 2,0,0
10,Life in a Year,0,0
